ssn,age,education,marital-status,relationship,sex,income
267-84-3980,35.0,,Never-married,Own-child,,<=50K
918-21-2529,23.0,Some-college,Never-married,Own-child,Male,<=50K
886-64-0048,19.0,Some-college,Never-married,Own-child,Female,<=50K
590-01-8426,40.0,Masters,Never-married,,,
852-21-1301,30.0,,Married-civ-spouse,,Male,
875-79-8524,18.0,12th,Never-married,Other-relative,Female,
091-55-4053,,,Married-civ-spouse,Husband,,
335-53-4397,60.0,10th,,Husband,Female,<=50K
548-37-2235,29.0,,,Husband,Male,
696-62-1620,44.0,,Married-civ-spouse,Husband,,<=50K
283-81-4496,45.0,,,Husband,Male,
509-67-4446,28.0,Bachelors,Never-married,Own-child,Male,
610-99-5085,19.0,,Never-married,,Female,
314-03-5626,51.0,HS-grad,,,,
397-88-0834,34.0,HS-grad,Divorced,Not-in-family,Female,<=50K
294-44-1031,30.0,Bachelors,Divorced,,Female,<=50K
174-66-2161,33.0,Bachelors,Divorced,Not-in-family,,<=50K
627-94-8402,53.0,HS-grad,,Unmarried,Male,
768-98-0343,42.0,Assoc-acdm,Widowed,Unmarried,Female,<=50K
179-02-3341,27.0,Preschool,,Husband,Male,
740-69-4102,49.0,Masters,,Unmarried,Male,
045-08-5995,,Bachelors,,Husband,,>50K
850-52-2112,44.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
819-13-3905,42.0,HS-grad,Widowed,Unmarried,Female,<=50K
678-04-0539,57.0,10th,Married-civ-spouse,Husband,,
684-15-2333,23.0,Some-college,Never-married,Not-in-family,,
454-63-7591,41.0,Some-college,Married-civ-spouse,,,
075-82-9238,50.0,Prof-school,,Not-in-family,Male,
350-12-2849,19.0,,Never-married,Own-child,Male,<=50K
928-77-7640,45.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
068-64-2506,,HS-grad,Married-civ-spouse,Husband,Male,
881-38-8205,64.0,Bachelors,Widowed,Not-in-family,Female,
179-48-4029,31.0,,Married-civ-spouse,,Female,<=50K
717-78-2554,,HS-grad,Never-married,Not-in-family,Male,
188-39-0663,30.0,Bachelors,Divorced,Not-in-family,Male,<=50K
080-86-6093,24.0,Bachelors,Never-married,,Male,
031-14-2506,22.0,Some-college,Never-married,Own-child,Male,<=50K
233-10-8107,60.0,,Never-married,Not-in-family,Female,
253-53-1940,19.0,11th,,Own-child,Female,<=50K
301-38-2063,24.0,Bachelors,Never-married,Not-in-family,,<=50K
832-86-2407,31.0,,Married-civ-spouse,,,
024-63-1449,51.0,,Married-civ-spouse,,,
496-65-2333,42.0,,Never-married,Not-in-family,Male,<=50K
343-61-1793,38.0,,Divorced,Unmarried,,
376-71-9901,64.0,,Never-married,,Female,
705-03-6854,30.0,Bachelors,Never-married,Other-relative,,<=50K
213-45-2088,,,Married-civ-spouse,Husband,Male,
817-62-8991,31.0,HS-grad,Married-civ-spouse,Husband,Female,<=50K
476-93-4888,40.0,,Married-civ-spouse,Husband,,<=50K
704-29-9753,,,Married-civ-spouse,Husband,Female,<=50K
741-06-2652,,Bachelors,Never-married,Own-child,Male,
397-66-5847,62.0,,Married-civ-spouse,Husband,Male,<=50K
711-27-1498,38.0,Some-college,,,Male,
621-19-1645,,,Divorced,Not-in-family,,<=50K
480-28-2554,43.0,Assoc-acdm,Married-civ-spouse,,Male,<=50K
868-94-9630,41.0,,Married-civ-spouse,,,<=50K
937-22-3586,18.0,Some-college,Never-married,Own-child,Male,<=50K
773-74-0785,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
942-10-6878,39.0,,Married-civ-spouse,Husband,Male,
413-48-2800,53.0,5th-6th,Married-civ-spouse,,Male,
388-17-5675,37.0,,Married-civ-spouse,Husband,Male,>50K
364-40-4176,61.0,,Married-civ-spouse,Husband,,
167-13-7591,25.0,,Never-married,,,>50K
013-26-7813,33.0,,Married-civ-spouse,Husband,,<=50K
689-77-2726,39.0,Masters,Married-civ-spouse,Husband,Male,<=50K
772-08-2308,61.0,7th-8th,Married-civ-spouse,Husband,Male,
285-19-6559,26.0,,,Wife,,
607-98-5257,34.0,HS-grad,Divorced,Unmarried,,<=50K
395-14-7419,52.0,Preschool,,Husband,,
649-90-7861,27.0,11th,Divorced,Unmarried,Male,
117-13-7592,23.0,11th,,Husband,,
